시도코드,시도명,구시군코드,구시군명
2600000000,부산광역시,2620000000,영도구
2600000000,부산광역시,2623000000,부산진구
2600000000,부산광역시,2626000000,동래구
2600000000,부산광역시,2629000000,남구
2600000000,부산광역시,2632000000,북구
2600000000,부산광역시,2635000000,해운대구
2600000000,부산광역시,2638000000,사하구
2600000000,부산광역시,2641000000,금정구
2600000000,부산광역시,2644000000,강서구
2600000000,부산광역시,2647000000,연제구
2600000000,부산광역시,2650000000,수영구
2600000000,부산광역시,2653000000,사상구
2600000000,부산광역시,2671000000,기장군
2600000000,부산광역시,2611000000,중구
2600000000,부산광역시,2614000000,서구
2600000000,부산광역시,2617000000,동구
2600000000,부산광역시,2620000000,영도구
2600000000,부산광역시,2623000000,부산진구
2600000000,부산광역시,2626000000,동래구
2600000000,부산광역시,2629000000,남구
2600000000,부산광역시,2632000000,북구
2600000000,부산광역시,2635000000,해운대구
2600000000,부산광역시,2638000000,사하구
2600000000,부산광역시,2641000000,금정구
2600000000,부산광역시,2644000000,강서구
2600000000,부산광역시,2647000000,연제구
2600000000,부산광역시,2650000000,수영구
2600000000,부산광역시,2653000000,사상구
2600000000,부산광역시,2671000000,기장군
2600000000,부산광역시,2611000000,중구
2600000000,부산광역시,2614000000,서구
2600000000,부산광역시,2617000000,동구
2600000000,부산광역시,2620000000,영도구
2600000000,부산광역시,2623000000,부산진구
2600000000,부산광역시,2626000000,동래구
2600000000,부산광역시,2629000000,남구
2600000000,부산광역시,2632000000,북구
2600000000,부산광역시,2635000000,해운대구
2600000000,부산광역시,2638000000,사하구
2600000000,부산광역시,2641000000,금정구
2600000000,부산광역시,2644000000,강서구
2600000000,부산광역시,2647000000,연제구
2600000000,부산광역시,2650000000,수영구
2600000000,부산광역시,2653000000,사상구
2600000000,부산광역시,2671000000,기장군
2600000000,부산광역시,2611000000,중구
2600000000,부산광역시,2614000000,서구
2600000000,부산광역시,2617000000,동구
2600000000,부산광역시,2620000000,영도구
2600000000,부산광역시,2623000000,부산진구
2600000000,부산광역시,2626000000,동래구
2600000000,부산광역시,2629000000,남구
2600000000,부산광역시,2632000000,북구
2600000000,부산광역시,2635000000,해운대구
2600000000,부산광역시,2638000000,사하구
2600000000,부산광역시,2641000000,금정구
2600000000,부산광역시,2644000000,강서구
2600000000,부산광역시,2647000000,연제구
2600000000,부산광역시,2650000000,수영구
2600000000,부산광역시,2653000000,사상구
2600000000,부산광역시,2671000000,기장군
2600000000,부산광역시,2611000000,중구
2600000000,부산광역시,2614000000,서구
2600000000,부산광역시,2617000000,동구
2600000000,부산광역시,2620000000,영도구
2600000000,부산광역시,2623000000,부산진구
2600000000,부산광역시,2626000000,동래구
2600000000,부산광역시,2629000000,남구
2600000000,부산광역시,2632000000,북구
2600000000,부산광역시,2635000000,해운대구
2600000000,부산광역시,2638000000,사하구
2600000000,부산광역시,2641000000,금정구
2600000000,부산광역시,2644000000,강서구
2600000000,부산광역시,2647000000,연제구
2600000000,부산광역시,2650000000,수영구
2600000000,부산광역시,2653000000,사상구
2600000000,부산광역시,2671000000,기장군
2600000000,부산광역시,2611000000,중구
2600000000,부산광역시,2614000000,서구
2600000000,부산광역시,2617000000,동구
2600000000,부산광역시,2620000000,영도구
2600000000,부산광역시,2623000000,부산진구
2600000000,부산광역시,2626000000,동래구
2600000000,부산광역시,2629000000,남구
2600000000,부산광역시,2632000000,북구
2600000000,부산광역시,2635000000,해운대구
2600000000,부산광역시,2638000000,사하구
2600000000,부산광역시,2641000000,금정구
2600000000,부산광역시,2644000000,강서구
2600000000,부산광역시,2647000000,연제구
2600000000,부산광역시,2650000000,수영구
2600000000,부산광역시,2653000000,사상구
2600000000,부산광역시,2671000000,기장군
2600000000,부산광역시,2611000000,중구
2600000000,부산광역시,2614000000,서구
2600000000,부산광역시,2617000000,동구
2600000000,부산광역시,2620000000,영도구
2600000000,부산광역시,2623000000,부산진구
2600000000,부산광역시,2626000000,동래구
2600000000,부산광역시,2629000000,남구
2600000000,부산광역시,2632000000,북구
2600000000,부산광역시,2635000000,해운대구
2600000000,부산광역시,2638000000,사하구
2600000000,부산광역시,2641000000,금정구
2600000000,부산광역시,2644000000,강서구
2600000000,부산광역시,2647000000,연제구
2600000000,부산광역시,2650000000,수영구
2600000000,부산광역시,2653000000,사상구
2600000000,부산광역시,2671000000,기장군
2600000000,부산광역시,2611000000,중구
2600000000,부산광역시,2614000000,서구
2600000000,부산광역시,2617000000,동구
2600000000,부산광역시,2620000000,영도구
2600000000,부산광역시,2623000000,부산진구
2600000000,부산광역시,2626000000,동래구
2600000000,부산광역시,2629000000,남구
2600000000,부산광역시,2632000000,북구
2600000000,부산광역시,2635000000,해운대구
2600000000,부산광역시,2638000000,사하구
2600000000,부산광역시,2641000000,금정구
2600000000,부산광역시,2644000000,강서구
2600000000,부산광역시,2647000000,연제구
2600000000,부산광역시,2650000000,수영구
2600000000,부산광역시,2653000000,사상구
2600000000,부산광역시,2671000000,기장군
2600000000,부산광역시,2611000000,중구
2600000000,부산광역시,2614000000,서구
2600000000,부산광역시,2617000000,동구
2600000000,부산광역시,2620000000,영도구
2600000000,부산광역시,2623000000,부산진구
2600000000,부산광역시,2626000000,동래구
2600000000,부산광역시,2629000000,남구
2600000000,부산광역시,2632000000,북구
2600000000,부산광역시,2635000000,해운대구
2600000000,부산광역시,2638000000,사하구
2600000000,부산광역시,2641000000,금정구
2600000000,부산광역시,2644000000,강서구
2600000000,부산광역시,2647000000,연제구
2600000000,부산광역시,2650000000,수영구
2600000000,부산광역시,2653000000,사상구
2600000000,부산광역시,2671000000,기장군
2600000000,부산광역시,2611000000,중구
2600000000,부산광역시,2614000000,서구
2600000000,부산광역시,2617000000,동구
2600000000,부산광역시,2620000000,영도구
2600000000,부산광역시,2623000000,부산진구
2600000000,부산광역시,2626000000,동래구
2600000000,부산광역시,2629000000,남구
2600000000,부산광역시,2632000000,북구
2600000000,부산광역시,2635000000,해운대구
2600000000,부산광역시,2638000000,사하구
2600000000,부산광역시,2641000000,금정구
2600000000,부산광역시,2644000000,강서구
2600000000,부산광역시,2647000000,연제구
2600000000,부산광역시,2650000000,수영구
2600000000,부산광역시,2653000000,사상구
2600000000,부산광역시,2671000000,기장군
2600000000,부산광역시,2611000000,중구
2600000000,부산광역시,2614000000,서구
2600000000,부산광역시,2617000000,동구
2600000000,부산광역시,2620000000,영도구
2600000000,부산광역시,2623000000,부산진구
2600000000,부산광역시,2626000000,동래구
2600000000,부산광역시,2629000000,남구
2600000000,부산광역시,2632000000,북구
2600000000,부산광역시,2635000000,해운대구
2600000000,부산광역시,2638000000,사하구
2600000000,부산광역시,2641000000,금정구
2600000000,부산광역시,2644000000,강서구
2600000000,부산광역시,2647000000,연제구
2600000000,부산광역시,2650000000,수영구
2600000000,부산광역시,2653000000,사상구
2600000000,부산광역시,2671000000,기장군
2600000000,부산광역시,2611000000,중구
2600000000,부산광역시,2614000000,서구
2600000000,부산광역시,2617000000,동구
2600000000,부산광역시,2620000000,영도구
2600000000,부산광역시,2623000000,부산진구
2600000000,부산광역시,2626000000,동래구
2600000000,부산광역시,2629000000,남구
2600000000,부산광역시,2632000000,북구
2600000000,부산광역시,2635000000,해운대구
2600000000,부산광역시,2638000000,사하구
2600000000,부산광역시,2641000000,금정구
2600000000,부산광역시,2644000000,강서구
2600000000,부산광역시,2647000000,연제구
2600000000,부산광역시,2650000000,수영구
2600000000,부산광역시,2653000000,사상구
2600000000,부산광역시,2671000000,기장군
2600000000,부산광역시,2611000000,중구
2600000000,부산광역시,2614000000,서구
2600000000,부산광역시,2617000000,동구
2600000000,부산광역시,2620000000,영도구
